,document_id,firm_id,time
0,1.F,Air New Zealand Limited,2015
1,2.F,Air New Zealand Limited,2011
2,3.F,Air New Zealand Limited,2012
3,4.F,Air New Zealand Limited,2013
4,5.F,Air New Zealand Limited,2014
5,6.F,Air New Zealand Limited,2015
6,7.F,Air New Zealand Limited,2011
7,8.F,Air New Zealand Limited,2012
8,9.F,Air New Zealand Limited,2013
9,10.F,Air New Zealand Limited,2014
10,11.F,Air New Zealand Limited,2015
11,14.F,Auckland International Airport Limited,2013
12,15.F,Auckland International Airport Limited,2014
13,16.F,Auckland International Airport Limited,2015
14,17.F,Auckland International Airport Limited,2014
15,18.F,Auckland International Airport Limited,2015
16,19.F,Auckland International Airport Limited,2012
17,20.F,Auckland International Airport Limited,2011
18,21.F,Auckland International Airport Limited,2012
19,22.F,Auckland International Airport Limited,2011
20,23.F,Auckland International Airport Limited,2012
21,24.F,Auckland International Airport Limited,2013
22,25.F,Australia New Zealand Banking Group Limited,2016
23,26.F,Australia New Zealand Banking Group Limited,2015
24,27.F,Australia New Zealand Banking Group Limited,2011
25,28.F,Australia New Zealand Banking Group Limited,2012
26,29.F,Australia New Zealand Banking Group Limited,2013
27,30.F,Australia New Zealand Banking Group Limited,2014
28,31.F,Australia New Zealand Banking Group Limited,2015
29,32.F,Australia New Zealand Banking Group Limited,2016
30,33.F,Australia New Zealand Banking Group Limited,2012
31,34.F,Australia New Zealand Banking Group Limited,2013
32,35.F,Australia New Zealand Banking Group Limited,2014
33,36.F,Australia New Zealand Banking Group Limited,2015
34,37.F,Australia New Zealand Banking Group Limited,2016
35,38.F,Australia New Zealand Banking Group Limited,2013
36,39.F,Australia New Zealand Banking Group Limited,2015
37,40.F,Australia New Zealand Banking Group Limited,2013
38,41.F,Australia New Zealand Banking Group Limited,2011
39,42.F,Australia New Zealand Banking Group Limited,2010
40,43.F,Australia New Zealand Banking Group Limited,2011
41,44.F,Australia New Zealand Banking Group Limited,2010
42,45.F,Australia New Zealand Banking Group Limited,2017
43,46.F,Australia New Zealand Banking Group Limited,2017
44,47.F,Australia New Zealand Banking Group Limited,2018
45,48.F,Australia New Zealand Banking Group Limited,2019
46,49.F,Australia New Zealand Banking Group Limited,2020
47,50.F,Australia New Zealand Banking Group Limited,2017
48,51.F,Australia New Zealand Banking Group Limited,2018
49,52.F,Australia New Zealand Banking Group Limited,2019
50,53.F,Australia New Zealand Banking Group Limited,2020
51,54.F,Australia New Zealand Banking Group Limited,2021
52,55.F,Australia New Zealand Banking Group Limited,2020
53,56.F,Bank of Queensland Limited,2017
54,57.F,Bank of Queensland Limited,2017
55,58.F,Bank of Queensland Limited,2018
56,59.F,Bank of Queensland Limited,2019
57,60.F,Bank of Queensland Limited,2020
58,61.F,Bank of Queensland Limited,2017
59,62.F,Bank of Queensland Limited,2018
60,63.F,Bank of Queensland Limited,2019
