,document_id,filename,firm_id
0,1.F,Air New Zealand Limited - ShareholderAnalyst Call.pdf,Air New Zealand Limited
1,2.F,"Air New Zealand Limited, 2011 Earnings Call, Aug 25, 2011.pdf",Air New Zealand Limited
2,3.F,"Air New Zealand Limited, 2012 Earnings Call, Aug 30, 2012.pdf",Air New Zealand Limited
3,4.F,"Air New Zealand Limited, 2013 Earnings Call, Aug 29, 2013.pdf",Air New Zealand Limited
4,5.F,"Air New Zealand Limited, 2014 Earnings Call, Aug 27, 2014.pdf",Air New Zealand Limited
5,6.F,"Air New Zealand Limited, 2015 Earnings Call, Aug 26, 2015.pdf",Air New Zealand Limited
6,7.F,"Air New Zealand Limited, H1 2011 Earnings Call, Feb 24, 2011.pdf",Air New Zealand Limited
7,8.F,"Air New Zealand Limited, H1 2012 Earnings Call, Feb 24, 2012.pdf",Air New Zealand Limited
8,9.F,"Air New Zealand Limited, H1 2013 Earnings Call, Feb 28, 2013.pdf",Air New Zealand Limited
9,10.F,"Air New Zealand Limited, H1 2014 Earnings Call, Feb 27, 2014.pdf",Air New Zealand Limited
10,11.F,"Air New Zealand Limited, H1 2015 Earnings Call, Feb 25, 2015.pdf",Air New Zealand Limited
11,14.F,"Auckland International Airport Limited, 2013 Earnings Call, Aug 21, 2013.pdf",Auckland International Airport Limited
12,15.F,"Auckland International Airport Limited, 2014 Earnings Call, Aug 26, 2014.pdf",Auckland International Airport Limited
13,16.F,"Auckland International Airport Limited, 2015 Earnings Call, Aug 24, 2015.pdf",Auckland International Airport Limited
14,17.F,"Auckland International Airport Limited, H1 2014 Earnings Call, Feb 20, 2014.pdf",Auckland International Airport Limited
15,18.F,"Auckland International Airport Limited, H1 2015 Earnings Call, Feb 20, 2015.pdf",Auckland International Airport Limited
16,19.F,Auckland International Airport Ltd. - ShareholderAnalyst Call.pdf,Auckland International Airport Limited
17,20.F,"Auckland International Airport Ltd., 2011 Earnings Call, Aug 23, 2011.pdf",Auckland International Airport Limited
18,21.F,"Auckland International Airport Ltd., 2012 Earnings Call, Aug 30, 2012.pdf",Auckland International Airport Limited
19,22.F,"Auckland International Airport Ltd., H1 2011 Earnings Call, Feb 24, 2011.pdf",Auckland International Airport Limited
20,23.F,"Auckland International Airport Ltd., H1 2012 Earnings Call, Feb 29, 2012.pdf",Auckland International Airport Limited
21,24.F,"Auckland International Airport Ltd., H1 2013 Earnings Call, Feb 21, 2013.pdf",Auckland International Airport Limited
22,25.F,Australia  New Zealand Banking Group Limited - ShareholderAnalyst Call.pdf,Australia New Zealand Banking Group Limited
23,26.F,Australia  New Zealand Banking Group Limited - Special Call.pdf,Australia New Zealand Banking Group Limited
24,27.F,"Australia  New Zealand Banking Group Limited, 2011 Earnings Call, Nov 03, 2011.pdf",Australia New Zealand Banking Group Limited
25,28.F,"Australia  New Zealand Banking Group Limited, 2012 Earnings Call, Oct 25, 2012.pdf",Australia New Zealand Banking Group Limited
26,29.F,"Australia  New Zealand Banking Group Limited, 2013 Earnings Call, Oct 29, 2013.pdf",Australia New Zealand Banking Group Limited
27,30.F,"Australia  New Zealand Banking Group Limited, 2014 Earnings Call, Oct 31, 2014.pdf",Australia New Zealand Banking Group Limited
28,31.F,"Australia  New Zealand Banking Group Limited, 2015 Earnings Call, Oct 29, 2015.pdf",Australia New Zealand Banking Group Limited
29,32.F,"Australia  New Zealand Banking Group Limited, 2016 Earnings Call, Nov 03, 2016.pdf",Australia New Zealand Banking Group Limited
30,33.F,"Australia  New Zealand Banking Group Limited, H1 2012 Earnings Call, May 02, 2012.pdf",Australia New Zealand Banking Group Limited
31,34.F,"Australia  New Zealand Banking Group Limited, H1 2013 Earnings Call, Apr 30, 2013.pdf",Australia New Zealand Banking Group Limited
32,35.F,"Australia  New Zealand Banking Group Limited, H1 2014 Earnings Call, May 01, 2014.pdf",Australia New Zealand Banking Group Limited
33,36.F,"Australia  New Zealand Banking Group Limited, H1 2015 Earnings Call, May 05, 2015.pdf",Australia New Zealand Banking Group Limited
34,37.F,"Australia  New Zealand Banking Group Limited, H1 2016 Earnings Call, May 03, 2016.pdf",Australia New Zealand Banking Group Limited
35,38.F,"Australia  New Zealand Banking Group Limited, Nine Months 2013 Sales Trading Statement Call, Aug 16, 2013.pdf",Australia New Zealand Banking Group Limited
36,39.F,"Australia  New Zealand Banking Group Limited, Nine Months 2015 Sales Trading Statement Call, Aug 18, 2015.pdf",Australia New Zealand Banking Group Limited
37,40.F,"Australia  New Zealand Banking Group Limited, Q1 2013 Sales Trading Statement Call, Feb 15, 2013.pdf",Australia New Zealand Banking Group Limited
38,41.F,Australia  New Zealand Banking Group Ltd. - Special Call.pdf,Australia New Zealand Banking Group Limited
39,42.F,"Australia  New Zealand Banking Group Ltd., 2010 Earnings Call, Oct 28, 2010.pdf",Australia New Zealand Banking Group Limited
40,43.F,"Australia  New Zealand Banking Group Ltd., H1 2011 Earnings Call, May 03, 2011.pdf",Australia New Zealand Banking Group Limited
41,44.F,"Australia  New Zealand Banking Group Ltd., Q2 2010 Earnings Call, Apr-29-2010.pdf",Australia New Zealand Banking Group Limited
42,45.F,Australia and New Zealand Banking Group Limited - ShareholderAnalyst Call.pdf,Australia New Zealand Banking Group Limited
43,46.F,"Australia and New Zealand Banking Group Limited, 2017 Earnings Call, Oct 26, 2017.pdf",Australia New Zealand Banking Group Limited
44,47.F,"Australia and New Zealand Banking Group Limited, 2018 Earnings Call, Oct 31, 2018.pdf",Australia New Zealand Banking Group Limited
45,48.F,"Australia and New Zealand Banking Group Limited, 2019 Earnings Call, Oct 31, 2019.pdf",Australia New Zealand Banking Group Limited
46,49.F,"Australia and New Zealand Banking Group Limited, 2020 Earnings Call, Oct 29, 2020.pdf",Australia New Zealand Banking Group Limited
47,50.F,"Australia and New Zealand Banking Group Limited, H1 2017 Earnings Call, May 02, 2017.pdf",Australia New Zealand Banking Group Limited
48,51.F,"Australia and New Zealand Banking Group Limited, H1 2018 Earnings Call, May 01, 2018.pdf",Australia New Zealand Banking Group Limited
49,52.F,"Australia and New Zealand Banking Group Limited, H1 2019 Earnings Call, May 01, 2019.pdf",Australia New Zealand Banking Group Limited
