innovation,integrity,quality,respect,teamwork,document_length,Unnamed: 0,firm_id,time
1.4610,0.8722,1.4392,3.8814,0.9376,4586,0,Air New Zealand Limited,2015
1.0748,0.0896,0.6717,0.1791,0.4478,2233,1,Air New Zealand Limited,2011
0.5574,0.0557,1.0591,0.3902,1.2821,1794,2,Air New Zealand Limited,2012
1.5766,0.2252,0.8258,0.4505,0.5255,1332,3,Air New Zealand Limited,2013
0.7283,0.1457,0.8740,0.4370,0.5827,1373,4,Air New Zealand Limited,2014
1.3123,0.4374,1.1811,0.7437,0.6562,2286,5,Air New Zealand Limited,2015
0.4743,0.0000,1.1858,0.2372,0.3162,1265,6,Air New Zealand Limited,2011
0.4826,0.0965,0.8687,0.0000,0.3861,1036,7,Air New Zealand Limited,2012
1.9231,0.1832,2.1062,0.4579,1.0073,1092,8,Air New Zealand Limited,2013
1.2387,0.7883,1.6892,0.6757,1.3514,888,9,Air New Zealand Limited,2014
0.4211,0.1053,0.8421,0.7368,0.2105,950,10,Air New Zealand Limited,2015
1.0589,0.1324,0.9265,0.2647,0.2647,1511,11,Auckland International Airport Limited,2013
1.1475,0.0000,0.6011,0.1093,0.6011,1830,12,Auckland International Airport Limited,2014
0.5252,0.2101,0.8929,0.4202,0.4202,1904,13,Auckland International Airport Limited,2015
0.9590,0.1744,0.2616,0.5231,0.2616,1147,14,Auckland International Airport Limited,2014
0.7886,0.4732,0.3155,0.0000,0.3943,1268,15,Auckland International Airport Limited,2015
1.5483,0.6375,0.3643,1.3661,0.9107,1098,16,Auckland International Airport Limited,2012
0.4551,0.0569,0.5688,0.0569,0.1138,1758,17,Auckland International Airport Limited,2011
0.9736,0.2782,0.8345,0.0000,1.1127,719,18,Auckland International Airport Limited,2012
0.6289,0.2096,0.6289,0.4193,0.1048,954,19,Auckland International Airport Limited,2011
1.1041,0.2103,0.6835,0.3155,0.4206,1902,20,Auckland International Airport Limited,2012
0.6938,0.0867,0.6938,0.0867,0.6071,1153,21,Auckland International Airport Limited,2013
0.8583,1.2324,1.2544,2.3768,0.5502,9088,22,Australia New Zealand Banking Group Limited,2016
0.2606,0.3257,0.1303,0.1954,0.5863,1535,23,Australia New Zealand Banking Group Limited,2015
0.8447,0.0402,0.4425,0.2414,0.2414,2486,24,Australia New Zealand Banking Group Limited,2011
1.1390,0.1340,0.4020,0.2345,0.2010,2985,25,Australia New Zealand Banking Group Limited,2012
1.1259,0.1024,0.6482,0.1706,0.3753,2931,26,Australia New Zealand Banking Group Limited,2013
0.8073,0.2808,0.5967,0.2457,0.2808,2849,27,Australia New Zealand Banking Group Limited,2014
0.8826,0.1151,0.7291,0.2686,0.1151,2606,28,Australia New Zealand Banking Group Limited,2015
0.9019,0.4099,0.5193,0.7106,0.2186,3659,29,Australia New Zealand Banking Group Limited,2016
0.8495,0.3398,0.7475,0.4077,0.2379,2943,30,Australia New Zealand Banking Group Limited,2012
1.4333,0.4300,0.6689,0.1911,0.2867,2093,31,Australia New Zealand Banking Group Limited,2013
0.6551,0.2312,0.4624,0.1927,0.1541,2595,32,Australia New Zealand Banking Group Limited,2014
0.6872,0.5063,0.8680,0.5063,0.5063,2765,33,Australia New Zealand Banking Group Limited,2015
1.1650,0.4877,0.7586,0.8941,0.2980,3691,34,Australia New Zealand Banking Group Limited,2016
0.2201,0.1651,0.2201,0.2201,0.0000,1817,35,Australia New Zealand Banking Group Limited,2013
0.4364,0.1870,0.1870,0.5611,0.6234,1604,36,Australia New Zealand Banking Group Limited,2015
0.6255,0.4691,0.3518,0.0782,0.1173,2558,37,Australia New Zealand Banking Group Limited,2013
0.4721,0.1717,0.5150,0.2575,0.4721,2330,38,Australia New Zealand Banking Group Limited,2011
0.4468,0.5809,0.8043,0.5809,0.5362,2238,39,Australia New Zealand Banking Group Limited,2010
0.3403,0.1512,0.4537,0.1512,0.1890,2645,40,Australia New Zealand Banking Group Limited,2011
0.3758,0.2505,0.2088,0.4175,0.1670,2395,41,Australia New Zealand Banking Group Limited,2010
0.8985,0.7907,0.9345,2.3601,0.5631,8347,42,Australia New Zealand Banking Group Limited,2017
