innovation,integrity,quality,respect,teamwork,document_length,Unnamed: 0,firm_id,time
2.3865,2.8096,1.3379,5.0893,2.0531,4586.0000,0,Air New Zealand Limited,2015
1.1520,0.2194,0.8724,0.0609,1.0784,2233.0000,1,Air New Zealand Limited,2011
0.7881,0.2183,0.8874,0.3001,3.7833,1794.0000,2,Air New Zealand Limited,2012
2.6092,0.4450,1.2608,0.4058,1.2983,1332.0000,3,Air New Zealand Limited,2013
1.0922,0.2961,0.7685,0.6326,1.0942,1373.0000,4,Air New Zealand Limited,2014
0.9031,1.3189,1.6280,0.7012,1.8015,2286.0000,5,Air New Zealand Limited,2015
0.4977,0.0000,1.1547,0.0949,0.8115,1265.0000,6,Air New Zealand Limited,2011
0.6705,0.3604,1.4656,0.0000,0.9246,1036.0000,7,Air New Zealand Limited,2012
3.7078,0.3723,3.1060,1.4458,2.1555,1092.0000,8,Air New Zealand Limited,2013
1.0584,1.2526,2.0510,1.3868,3.0693,888.0000,9,Air New Zealand Limited,2014
0.9124,0.3201,0.9974,1.2146,0.1468,950.0000,10,Air New Zealand Limited,2015
1.1346,0.2608,1.1984,0.6208,0.4450,1511.0000,11,Auckland International Airport Limited,2013
1.4719,0.0000,0.5050,0.0174,1.2149,1830.0000,12,Auckland International Airport Limited,2014
0.7618,0.5697,0.4983,0.3800,0.8767,1904.0000,13,Auckland International Airport Limited,2015
1.3964,0.4804,0.1383,0.7901,0.3374,1147.0000,14,Auckland International Airport Limited,2014
1.0896,1.0823,0.1911,0.0000,0.3162,1268.0000,15,Auckland International Airport Limited,2015
3.1767,1.4249,0.3396,1.9068,1.8410,1098.0000,16,Auckland International Airport Limited,2012
0.4601,0.0953,0.4999,0.0091,0.1462,1758.0000,17,Auckland International Airport Limited,2011
0.9187,0.6772,0.8101,0.0000,1.8746,719.0000,18,Auckland International Airport Limited,2012
0.8026,0.2879,0.3910,0.2181,0.1280,954.0000,19,Auckland International Airport Limited,2011
1.4719,0.4434,0.5022,0.3505,0.7007,1902.0000,20,Auckland International Airport Limited,2012
0.6413,0.2111,0.8938,0.0138,1.0899,1153.0000,21,Auckland International Airport Limited,2013
1.3643,3.8339,1.3521,3.9747,1.2894,9088.0000,22,Australia New Zealand Banking Group Limited,2016
0.2784,1.1220,0.3123,0.3663,1.1272,1535.0000,23,Australia New Zealand Banking Group Limited,2015
0.7638,0.0749,0.3778,0.2465,0.4897,2486.0000,24,Australia New Zealand Banking Group Limited,2011
1.6842,0.2998,0.5052,0.4183,0.2660,2985.0000,25,Australia New Zealand Banking Group Limited,2012
1.4661,0.2985,0.6540,0.0942,0.6457,2931.0000,26,Australia New Zealand Banking Group Limited,2013
0.9349,0.6431,0.4602,0.3631,0.5992,2849.0000,27,Australia New Zealand Banking Group Limited,2014
1.0235,0.2156,0.5621,0.2644,0.1598,2606.0000,28,Australia New Zealand Banking Group Limited,2015
0.9435,0.9668,0.5564,0.7938,0.4041,3659.0000,29,Australia New Zealand Banking Group Limited,2016
0.6594,0.6357,0.7216,0.4272,0.3803,2943.0000,30,Australia New Zealand Banking Group Limited,2012
1.1316,0.8308,1.0220,0.3512,0.4782,2093.0000,31,Australia New Zealand Banking Group Limited,2013
0.9011,0.5332,0.5500,0.3362,0.2950,2595.0000,32,Australia New Zealand Banking Group Limited,2014
0.6290,1.1308,0.5250,0.6201,0.9621,2765.0000,33,Australia New Zealand Banking Group Limited,2015
1.5002,1.2442,0.5383,0.9779,0.5705,3691.0000,34,Australia New Zealand Banking Group Limited,2016
0.1078,0.3156,0.1513,0.4875,0.0000,1817.0000,35,Australia New Zealand Banking Group Limited,2013
0.2458,0.6754,0.1586,1.0404,1.2823,1604.0000,36,Australia New Zealand Banking Group Limited,2015
0.5160,0.6466,0.2168,0.2059,0.1092,2558.0000,37,Australia New Zealand Banking Group Limited,2013
0.3046,0.5036,0.6391,0.5527,0.8885,2330.0000,38,Australia New Zealand Banking Group Limited,2011
0.5234,1.2417,0.9368,0.6906,1.1288,2238.0000,39,Australia New Zealand Banking Group Limited,2010
0.4126,0.4534,0.4448,0.1318,0.3547,2645.0000,40,Australia New Zealand Banking Group Limited,2011
0.5120,0.5734,0.1070,0.4462,0.4132,2395.0000,41,Australia New Zealand Banking Group Limited,2010
1.4942,2.4399,0.9858,3.8412,1.0940,8347.0000,42,Australia New Zealand Banking Group Limited,2017
1.0816,0.8817,0.4651,1.4291,0.3921,3312.0000,43,Australia New Zealand Banking Group Limited,2017
1.6813,0.6853,0.4040,0.3328,0.3435,3663.0000,44,Australia New Zealand Banking Group Limited,2018
1.4920,0.3778,0.3987,0.2367,0.3266,3127.0000,45,Australia New Zealand Banking Group Limited,2019
1.5499,0.3161,0.7675,0.2891,0.3929,4464.0000,46,Australia New Zealand Banking Group Limited,2020
1.2830,0.4207,0.5571,0.2812,0.0928,3761.0000,47,Australia New Zealand Banking Group Limited,2017
1.3099,0.5401,0.6848,0.7281,0.5489,3290.0000,48,Australia New Zealand Banking Group Limited,2018
2.1345,1.2357,0.5232,0.8080,0.6862,2744.0000,49,Australia New Zealand Banking Group Limited,2019
0.8749,0.7862,0.5383,0.2130,0.5446,4583.0000,50,Australia New Zealand Banking Group Limited,2020
0.8461,1.6273,0.3737,0.9401,0.1384,5409.0000,51,Australia New Zealand Banking Group Limited,2021
0.9983,0.4522,0.4641,0.4442,0.4560,3482.0000,52,Australia New Zealand Banking Group Limited,2020
2.5271,6.6324,0.0171,4.5754,1.0501,746.0000,53,Bank of Queensland Limited,2017
1.9111,0.4975,1.9300,0.5139,0.2701,1957.0000,54,Bank of Queensland Limited,2017
2.3258,1.2111,1.6492,0.2118,1.5822,2449.0000,55,Bank of Queensland Limited,2018
2.6610,0.3533,1.4239,0.3198,0.6141,3235.0000,56,Bank of Queensland Limited,2019
1.0702,0.5353,0.9238,0.5633,0.3878,2841.0000,57,Bank of Queensland Limited,2020
1.3933,1.1035,0.6466,0.3062,0.0229,3047.0000,58,Bank of Queensland Limited,2017
0.5324,1.0768,0.7963,0.0000,0.3744,2349.0000,59,Bank of Queensland Limited,2018
2.6397,0.6826,0.7841,0.3584,0.5383,2057.0000,60,Bank of Queensland Limited,2019
0.4736,0.2946,1.2023,0.2702,1.2915,2603.0000,61,Bank of Queensland Limited,2020
5.2198,0.4224,1.7015,0.2411,0.4151,2971.0000,62,Bank of Queensland Limited,2021
8.2635,0.4645,0.9568,0.8664,0.8860,1631.0000,63,Bank of Queensland Limited,2021
1.9136,5.9135,1.6233,4.9271,1.1885,644.0000,64,Bank of Queensland Limited,2013
1.0933,0.5291,1.4006,0.5233,0.1509,2200.0000,65,Bank of Queensland Limited,2010
0.4242,0.0000,0.2071,0.1045,0.3374,1839.0000,66,Bank of Queensland Limited,2011
1.6322,0.6358,0.7580,0.3331,0.6794,1536.0000,67,Bank of Queensland Limited,2012
1.6569,0.3756,0.3781,0.4643,0.0000,1296.0000,68,Bank of Queensland Limited,2013
1.3860,2.0997,0.5133,1.4621,1.1498,2068.0000,69,Bank of Queensland Limited,2014
0.4336,0.1928,1.5935,0.3901,0.4440,1980.0000,70,Bank of Queensland Limited,2015
2.2713,0.4470,1.2058,0.4933,0.1206,2896.0000,71,Bank of Queensland Limited,2016
0.5639,0.2841,0.4975,0.5747,0.2409,2365.0000,72,Bank of Queensland Limited,2011
0.9513,0.3166,1.0313,1.5820,0.6461,1500.0000,73,Bank of Queensland Limited,2012
1.5434,0.4270,0.8105,0.3693,0.0415,1679.0000,74,Bank of Queensland Limited,2013
1.0989,0.2966,1.4624,0.6201,0.3348,1344.0000,75,Bank of Queensland Limited,2014
0.9444,0.8545,0.6164,0.5907,0.2901,2753.0000,76,Bank of Queensland Limited,2015
1.2185,1.4840,0.8298,0.6170,0.4089,2323.0000,77,Bank of Queensland Limited,2016
1.2514,0.6811,0.8643,0.3292,0.4843,1876.0000,78,Bank of Queensland Limited,2010
5.0867,0.9136,1.2771,0.9707,2.8507,1618.0000,79,Bank of Queensland Limited,2013
0.8963,0.7812,0.5018,0.3587,1.2209,2719.0000,80,Bendigo and Adelaide Bank Limited,2012
0.6988,0.8044,0.4793,0.2631,0.3606,2421.0000,81,Bendigo and Adelaide Bank Limited,2013
0.6180,0.4810,0.2842,0.2092,0.9290,2894.0000,82,Bendigo and Adelaide Bank Limited,2014
0.6603,0.1610,0.1004,0.0744,0.3617,2067.0000,83,Bendigo and Adelaide Bank Limited,2015
0.7647,0.9422,1.0092,0.6163,0.4989,2819.0000,84,Bendigo and Adelaide Bank Limited,2016
0.7909,0.2524,0.2416,0.4345,0.3199,2088.0000,85,Bendigo and Adelaide Bank Limited,2017
0.7516,0.3508,0.4935,0.2676,0.3172,2065.0000,86,Bendigo and Adelaide Bank Limited,2018
0.7505,0.4394,1.1723,1.2427,0.2842,1965.0000,87,Bendigo and Adelaide Bank Limited,2019
1.0792,0.0480,0.5094,0.0605,0.7018,2232.0000,88,Bendigo and Adelaide Bank Limited,2020
0.8822,0.5664,0.7171,0.8450,0.4775,2237.0000,89,Bendigo and Adelaide Bank Limited,2012
0.8887,0.5411,0.6999,0.8176,0.8066,2752.0000,90,Bendigo and Adelaide Bank Limited,2013
0.5826,0.5035,0.3314,0.0206,0.2910,2320.0000,91,Bendigo and Adelaide Bank Limited,2014
0.9312,0.4545,1.6034,0.1519,0.6780,1594.0000,92,Bendigo and Adelaide Bank Limited,2015
0.6063,1.1837,0.1414,0.2838,0.1075,2259.0000,93,Bendigo and Adelaide Bank Limited,2016
0.8456,0.1870,0.7008,0.1359,0.5637,2500.0000,94,Bendigo and Adelaide Bank Limited,2017
0.8349,0.7834,0.8896,0.1805,0.4505,2510.0000,95,Bendigo and Adelaide Bank Limited,2018
1.1692,0.2471,0.3887,0.1976,0.5460,1806.0000,96,Bendigo and Adelaide Bank Limited,2019
1.1134,0.1418,0.4510,0.1765,0.3831,2659.0000,97,Bendigo and Adelaide Bank Limited,2020
1.1489,0.0000,1.1260,0.4352,0.5167,1932.0000,98,Bendigo and Adelaide Bank Limited,2021
0.4568,0.4288,0.1010,0.5498,0.3784,2263.0000,99,Bendigo and Adelaide Bank Limited,2011
0.2732,0.4536,0.4244,0.3283,0.4369,3083.0000,100,Bendigo and Adelaide Bank Limited,2011
4.0221,0.7881,0.3669,0.7771,0.0000,554.0000,101,Commonwealth Bank of Australia,2018
1.7439,4.0823,1.2295,4.9502,1.6616,6016.0000,102,Commonwealth Bank of Australia,2013
0.6761,0.1685,1.1267,0.6531,0.1542,2945.0000,103,Commonwealth Bank of Australia,2011
1.1350,0.6698,0.9564,0.3371,1.1336,2951.0000,104,Commonwealth Bank of Australia,2012
1.1352,0.3094,0.6282,0.3022,0.6548,2632.0000,105,Commonwealth Bank of Australia,2013
2.5336,0.6530,0.3876,0.6594,0.1319,2041.0000,106,Commonwealth Bank of Australia,2014
1.3416,0.9959,0.4131,0.4430,0.1820,2821.0000,107,Commonwealth Bank of Australia,2015
0.6666,1.0701,1.1462,1.0648,0.8470,2815.0000,108,Commonwealth Bank of Australia,2016
0.3878,1.5023,0.6048,1.0865,0.5029,2413.0000,109,Commonwealth Bank of Australia,2017
1.2466,0.2178,0.6466,0.2457,0.4736,2119.0000,110,Commonwealth Bank of Australia,2018
1.1163,0.6579,1.0649,0.6810,0.2697,2252.0000,111,Commonwealth Bank of Australia,2019
0.3674,0.7837,1.0125,0.5458,0.5865,2341.0000,112,Commonwealth Bank of Australia,2020
0.5401,0.1771,0.4328,0.1592,0.4722,2449.0000,113,Commonwealth Bank of Australia,2011
0.8455,1.1410,1.0818,0.3367,0.3929,2717.0000,114,Commonwealth Bank of Australia,2012
1.6878,1.5058,0.3856,0.9799,0.1650,3267.0000,115,Commonwealth Bank of Australia,2013
1.2644,0.5321,0.5879,0.4906,0.2456,2603.0000,116,Commonwealth Bank of Australia,2014
1.6086,0.8679,1.0035,0.0752,0.7904,2019.0000,117,Commonwealth Bank of Australia,2015
0.4359,0.5919,0.8195,0.5869,0.2641,2910.0000,118,Commonwealth Bank of Australia,2016
1.1568,0.4670,0.9148,0.6111,0.3446,2549.0000,119,Commonwealth Bank of Australia,2017
1.8484,1.8743,1.3032,0.3093,0.3704,2178.0000,120,Commonwealth Bank of Australia,2018
0.9310,0.5388,0.6737,0.4105,0.7281,2554.0000,121,Commonwealth Bank of Australia,2019
1.2269,0.4694,1.0921,0.4249,0.4016,2215.0000,122,Commonwealth Bank of Australia,2020
1.1646,0.3320,0.7137,0.2240,0.1314,1948.0000,123,Commonwealth Bank of Australia,2021
1.3744,0.0867,0.8606,0.8294,0.0000,1348.0000,124,Commonwealth Bank of Australia,2011
0.0607,0.1144,1.6257,0.1492,0.3737,2104.0000,125,Commonwealth Bank of Australia,2011
0.5845,0.6052,0.1819,0.2564,0.5681,2715.0000,126,Commonwealth Bank of Australia,2012
0.2725,0.7662,0.7933,0.4125,0.7470,1710.0000,127,Commonwealth Bank of Australia,2019
0.6528,0.2040,0.8752,0.8748,1.2972,2075.0000,128,Commonwealth Bank of Australia,2020
0.9252,0.4737,0.8273,0.4415,0.5756,2436.0000,129,Contact Energy Ltd,2011
1.1083,0.0000,0.1670,0.1017,0.1172,866.0000,130,Fisher Paykel Healthcare Corporation Limited,2011
1.3160,0.4318,1.4150,0.3534,0.3007,1107.0000,131,Fisher Paykel Healthcare Corporation Limited,2012
0.7818,0.3500,0.7365,0.0909,0.0886,1145.0000,132,Fisher Paykel Healthcare Corporation Limited,2013
0.8005,0.1788,0.2373,0.3095,0.1591,1170.0000,133,Fisher Paykel Healthcare Corporation Limited,2014
0.6734,0.3254,1.8038,1.4968,0.3757,2026.0000,134,Fisher Paykel Healthcare Corporation Limited,2015
0.4796,0.3439,0.3224,0.1472,0.0000,1390.0000,135,Fisher Paykel Healthcare Corporation Limited,2011
1.5647,0.6246,0.7672,0.6189,0.7911,1148.0000,136,Fisher Paykel Healthcare Corporation Limited,2012
0.2456,0.0000,0.1588,0.2368,0.2923,765.0000,137,Fisher Paykel Healthcare Corporation Limited,2013
1.1107,0.0000,1.2226,0.7072,0.8234,1066.0000,138,Fisher Paykel Healthcare Corporation Limited,2014
