innovation,integrity,quality,respect,teamwork,document_length,Unnamed: 0,firm_id,time
1.9790,2.4721,0.9627,2.2983,1.6662,4586.0000,0,Air New Zealand Limited,2015
0.9992,0.2194,0.7496,0.0544,1.0688,2233.0000,1,Air New Zealand Limited,2011
0.7317,0.2183,0.7500,0.2716,2.7847,1794.0000,2,Air New Zealand Limited,2012
2.0244,0.4450,1.2306,0.3950,1.2052,1332.0000,3,Air New Zealand Limited,2013
1.0922,0.2961,0.6564,0.4714,0.8645,1373.0000,4,Air New Zealand Limited,2014
0.6775,1.2313,1.4445,0.5316,1.4927,2286.0000,5,Air New Zealand Limited,2015
0.4943,0.0000,0.9107,0.0910,0.8115,1265.0000,6,Air New Zealand Limited,2011
0.6453,0.3604,1.2413,0.0000,0.6670,1036.0000,7,Air New Zealand Limited,2012
3.4646,0.3723,2.3014,1.4458,1.9135,1092.0000,8,Air New Zealand Limited,2013
1.0203,0.6473,1.8893,1.3813,2.0231,888.0000,9,Air New Zealand Limited,2014
0.9124,0.3201,0.7848,1.1995,0.1242,950.0000,10,Air New Zealand Limited,2015
1.0053,0.2608,1.1398,0.6208,0.4450,1511.0000,11,Auckland International Airport Limited,2013
1.3467,0.0000,0.4405,0.0148,1.0156,1830.0000,12,Auckland International Airport Limited,2014
0.6810,0.5243,0.3111,0.3317,0.6094,1904.0000,13,Auckland International Airport Limited,2015
1.3829,0.4804,0.1188,0.7776,0.3374,1147.0000,14,Auckland International Airport Limited,2014
1.0561,0.7725,0.1618,0.0000,0.2275,1268.0000,15,Auckland International Airport Limited,2015
3.1247,1.2531,0.3226,1.6527,1.6875,1098.0000,16,Auckland International Airport Limited,2012
0.4490,0.0953,0.4667,0.0091,0.1462,1758.0000,17,Auckland International Airport Limited,2011
0.9033,0.5733,0.8101,0.0000,1.7169,719.0000,18,Auckland International Airport Limited,2012
0.7422,0.2879,0.3221,0.1847,0.1280,954.0000,19,Auckland International Airport Limited,2011
1.3525,0.4163,0.3830,0.3288,0.6332,1902.0000,20,Auckland International Airport Limited,2012
0.5219,0.2111,0.7793,0.0138,1.0354,1153.0000,21,Auckland International Airport Limited,2013
1.0175,2.6378,0.7001,2.0693,1.0047,9088.0000,22,Australia New Zealand Banking Group Limited,2016
0.2784,1.0437,0.3123,0.3370,0.8032,1535.0000,23,Australia New Zealand Banking Group Limited,2015
0.6383,0.0749,0.3687,0.2362,0.3921,2486.0000,24,Australia New Zealand Banking Group Limited,2011
1.4281,0.2738,0.4742,0.3388,0.2410,2985.0000,25,Australia New Zealand Banking Group Limited,2012
1.1950,0.2636,0.4618,0.0893,0.3619,2931.0000,26,Australia New Zealand Banking Group Limited,2013
0.8225,0.5769,0.4099,0.3581,0.4859,2849.0000,27,Australia New Zealand Banking Group Limited,2014
0.9748,0.2156,0.5205,0.2546,0.1471,2606.0000,28,Australia New Zealand Banking Group Limited,2015
0.7787,0.9031,0.4532,0.6653,0.2577,3659.0000,29,Australia New Zealand Banking Group Limited,2016
0.5616,0.5890,0.5974,0.3858,0.2706,2943.0000,30,Australia New Zealand Banking Group Limited,2012
0.9956,0.7732,0.9294,0.3512,0.4489,2093.0000,31,Australia New Zealand Banking Group Limited,2013
0.8794,0.5174,0.5297,0.3189,0.2714,2595.0000,32,Australia New Zealand Banking Group Limited,2014
0.5962,1.0079,0.4041,0.5458,0.4658,2765.0000,33,Australia New Zealand Banking Group Limited,2015
1.1925,1.0556,0.4659,0.7741,0.5271,3691.0000,34,Australia New Zealand Banking Group Limited,2016
0.1008,0.3156,0.1513,0.4875,0.0000,1817.0000,35,Australia New Zealand Banking Group Limited,2013
0.2316,0.6754,0.1354,0.8040,1.0663,1604.0000,36,Australia New Zealand Banking Group Limited,2015
0.4846,0.4928,0.2024,0.2059,0.1092,2558.0000,37,Australia New Zealand Banking Group Limited,2013
0.2901,0.5036,0.5955,0.5527,0.8556,2330.0000,38,Australia New Zealand Banking Group Limited,2011
0.5234,1.1644,0.8484,0.6149,0.8110,2238.0000,39,Australia New Zealand Banking Group Limited,2010
0.3925,0.4534,0.3980,0.1300,0.3093,2645.0000,40,Australia New Zealand Banking Group Limited,2011
0.5008,0.5734,0.0932,0.4005,0.4132,2395.0000,41,Australia New Zealand Banking Group Limited,2010
1.1135,1.9861,0.6329,2.0367,0.8387,8347.0000,42,Australia New Zealand Banking Group Limited,2017
0.9032,0.8102,0.4148,1.2348,0.3821,3312.0000,43,Australia New Zealand Banking Group Limited,2017
1.4982,0.6360,0.2894,0.2497,0.2938,3663.0000,44,Australia New Zealand Banking Group Limited,2018
1.1531,0.3394,0.2715,0.1900,0.3266,3127.0000,45,Australia New Zealand Banking Group Limited,2019
1.3625,0.2355,0.5636,0.2068,0.3730,4464.0000,46,Australia New Zealand Banking Group Limited,2020
1.0841,0.3527,0.4549,0.2528,0.0872,3761.0000,47,Australia New Zealand Banking Group Limited,2017
1.2017,0.5138,0.5521,0.6606,0.4817,3290.0000,48,Australia New Zealand Banking Group Limited,2018
1.7494,0.9953,0.4208,0.6872,0.5000,2744.0000,49,Australia New Zealand Banking Group Limited,2019
0.7387,0.7372,0.3867,0.1456,0.4503,4583.0000,50,Australia New Zealand Banking Group Limited,2020
0.7435,1.5209,0.2928,0.7340,0.1327,5409.0000,51,Australia New Zealand Banking Group Limited,2021
0.8341,0.4229,0.3725,0.3166,0.3227,3482.0000,52,Australia New Zealand Banking Group Limited,2020
2.1092,5.6049,0.0171,3.8613,1.0501,746.0000,53,Bank of Queensland Limited,2017
1.6641,0.4975,1.1401,0.4039,0.2432,1957.0000,54,Bank of Queensland Limited,2017
2.0828,0.9425,1.4829,0.1963,1.1295,2449.0000,55,Bank of Queensland Limited,2018
2.0806,0.3533,1.0598,0.2435,0.5805,3235.0000,56,Bank of Queensland Limited,2019
1.0357,0.5113,0.8053,0.4300,0.3878,2841.0000,57,Bank of Queensland Limited,2020
1.1965,0.9123,0.5647,0.2711,0.0229,3047.0000,58,Bank of Queensland Limited,2017
0.4941,0.9293,0.5903,0.0000,0.3450,2349.0000,59,Bank of Queensland Limited,2018
2.3436,0.6626,0.6861,0.3165,0.3177,2057.0000,60,Bank of Queensland Limited,2019
0.4169,0.2819,0.9523,0.2511,1.0480,2603.0000,61,Bank of Queensland Limited,2020
3.8745,0.3863,1.0710,0.2395,0.3391,2971.0000,62,Bank of Queensland Limited,2021
5.9236,0.4645,0.7954,0.8664,0.8403,1631.0000,63,Bank of Queensland Limited,2021
1.9136,5.3575,1.4285,2.6205,1.1885,644.0000,64,Bank of Queensland Limited,2013
1.0230,0.4156,1.1140,0.4402,0.1509,2200.0000,65,Bank of Queensland Limited,2010
0.3934,0.0000,0.2008,0.0898,0.3374,1839.0000,66,Bank of Queensland Limited,2011
1.4806,0.6124,0.7434,0.3299,0.6106,1536.0000,67,Bank of Queensland Limited,2012
1.6129,0.3479,0.2613,0.4643,0.0000,1296.0000,68,Bank of Queensland Limited,2013
1.3458,1.8431,0.4546,1.3720,1.0223,2068.0000,69,Bank of Queensland Limited,2014
0.3982,0.1762,1.4169,0.3291,0.3215,1980.0000,70,Bank of Queensland Limited,2015
1.9373,0.4470,0.9368,0.4422,0.1132,2896.0000,71,Bank of Queensland Limited,2016
0.5350,0.2841,0.4168,0.4721,0.2319,2365.0000,72,Bank of Queensland Limited,2011
0.8462,0.3166,0.7669,1.5008,0.5296,1500.0000,73,Bank of Queensland Limited,2012
1.4296,0.4057,0.7669,0.3664,0.0415,1679.0000,74,Bank of Queensland Limited,2013
